amfi_code,mean_return,downside_std,sortino_ratio
148567,0.001073675403449081,0.0054280737138731345,2.3856443733688186
120843,0.001081754914045031,0.005531278164682247,2.3643200321667184
148569,0.0011240540293206527,0.006404164246039033,2.146913926346055
119551,0.0009167982325947294,0.004886822532070308,2.140267129061793
120505,0.0011613203372383767,0.007066673035853753,2.0293529404657464
149323,0.0010551910655344048,0.0067495155272582355,1.8751010639192083
118632,0.0008652259973214283,0.005210665469778991,1.850132546855726
100033,0.0010798038431409668,0.007132741369596697,1.8291339615146942
120504,0.0008430464116382315,0.0051450527328980545,1.8052937940992548
101206,0.0008517723174694551,0.005238411706705728,1.799562874698452
119094,0.0010266978562569042,0.007162651789767091,1.7037974802463003
119598,0.0012010157369980656,0.008936172964762255,1.6753165700125519
148568,0.0008250722735460028,0.005514041292822312,1.632740977873516
149324,0.0011941715475284602,0.00917541246406709,1.6197931764914093
119552,0.0007852425930349881,0.005199929710628719,1.609776489628308
102885,0.0006741587522893979,0.004602026848849015,1.4357420130649492
120503,0.000697595408431375,0.005216491204490982,1.3379431500669237
125497,0.0007095223731125696,0.0053873645685389255,1.3306512447571364
118633,0.0006163137445172902,0.004927831896192432,1.154475716923624
118635,0.000600473969875538,0.0047783171169877335,1.137976718780742
120506,0.0006501094769466271,0.005680792379048571,1.0958951614736467
102887,0.000645340694310669,0.005648515402825675,1.0887552508030016
120507,0.0002676525413793258,0.00014659609188478172,1.0521238822609291
120841,0.0005220152587214266,0.004860012898166431,0.8625738849916581
149322,0.0005222511308194414,0.0055054528482914086,0.7621288703723166
118634,0.0007071093821003067,0.009557987242320903,0.7460146308533572
125498,0.00047686346287115325,0.006830326465059992,0.5088128197169232
101207,0.0004244528681492361,0.009555122167229157,0.27664379626092334
119093,0.00032985864437101356,0.005164163193373068,0.22108683979276353
120842,0.0003119045881482731,0.006870582034365552,0.12469346986475674
119092,0.0002749789297660477,0.005145892143111504,0.05257398559304803
119599,0.00020131692580289563,0.009522556218325871,-0.09438726129459606
119095,0.00018236517391230026,0.009358756398627769,-0.12818559275851926
120844,0.0002561287499929851,0.00015287024177422428,-0.1877230477424223
102886,0.0001098147223397074,0.006771916531253498,-0.34722230254727265
100016,0.00014159930699210853,0.005260815192179734,-0.3510474601523089
119120,0.00022226830595075775,0.0015028257271034956,-0.37676700817066683
118636,0.00020153331311365723,0.001459390851296324,-0.6135251287271023
100025,0.00017005379350090052,0.0014812735022368374,-0.9418212366054204
101208,0.00024154628565905978,0.0001547774250784841,-1.681037866751281
